Spacecraft,Spacecraft,Organization,Date,Type,Status,Notes,Image,Ref
Pioneer 10,Pioneer 10,NASA,3 December 1973,flyby,success,first probe to cross the asteroid belt; first Jupiter probe; first man-made object on an interstellar trajectory; now in the outer regions of the Solar System but no longer contactable,,1972-012A
Pioneer 11,Pioneer 11,NASA,4 December 1974,flyby,success,went on to visit Saturn,,1973-019A
Voyager 1,Voyager 1,NASA,5 March 1979,flyby,success,went on to visit Saturn,,1977-084A
Voyager 2,Voyager 2,NASA,9 July 1979,flyby,success,"went on to visit Saturn, Uranus and Neptune",,1977-076A
Ulysses(first pass),Ulysses(first pass),ESA/ NASA,February 1992,flyby,success,gravity assist en route to inclined heliocentric orbit for solar polar observations,,1990-090B
Galileo Orbiter,Galileo Orbiter,NASA/ West Germany,7 December 1995 –21 September 2003,orbiter,success,also flew by various of Jupiter's moons; intentionally flown into Jupiter at end of mission; first spacecraft to orbit Jupiter; first spacecraft to flyby an asteroid,,1989-084B
,Galileo Probe,NASA,7 December 1995,atmospheric probe,success,first probe to enter Jupiter's atmosphere,,1989-084E
Cassini,Cassini,NASA/ ESA/ ASI,December 2000,flyby,success,gravity assist en route to Saturn,,1997-061A
Ulysses(second pass),Ulysses(second pass),ESA/ NASA,2003–04,distant flyby,success,,,1990-090B
New Horizons,New Horizons,NASA,28 February 2007,flyby,success,gravity assist en route to Pluto,,2006-001A
Juno,Juno,NASA,"5 July 2016 – July 2018, extended to July 2021 and then September 2025",orbiter,success,"First solar-powered Jupiter orbiter, first mission to achieve a polar orbit of Jupiter.",,2011-040A
JUICE,JUICE,ESA,14 April 2023 (launch),orbiter,enroute,"mission to study Jupiter's three icy moons Callisto, Europa and Ganymede, eventually orbiting Ganymede as the first spacecraft to orbit a satellite of another planet.",,
Europa Clipper,Europa Clipper,NASA,2024,orbiter,planned,planned to orbit Jupiter and fly by Europa multiple times,,
IHP-1,IHP-1,CNSA,"2024 (launch), 2029 (Jupiter closest approach)",flyby,under study,Proposed Interstellar Heliosphere Probe with Jovian gravity assist,,
IHP-2,IHP-2,CNSA,"2025 (launch), 2033 (Jupiter closest approach)",flyby,under study,Proposed Interstellar Heliosphere Probe with Jovian gravity assist (and later Neptune and KBO flybys),,
Tianwen-4,Tianwen-4,CNSA,September 2029,orbiter,planned,Planned Jupiter orbiter with attached Uranus probe,,
